# Sample Camera Trajectory Data
# Format: FRAME_ID, RIG_ID, QW, QX, QY, QZ, TX, TY, TZ
# This is a sample circular trajectory with 100 frames

0, 0, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 0, 0.999981, 0.000000, 0.006283, 0.000000, 0.062791, 0.000000, 0.001974
2, 0, 0.999924, 0.000000, 0.012566, 0.000000, 0.125333, 0.000000, 0.007896
3, 0, 0.999831, 0.000000, 0.018850, 0.000000, 0.187381, 0.000000, 0.017730
4, 0, 0.999699, 0.000000, 0.025132, 0.000000, 0.248690, 0.000000, 0.031473
5, 0, 0.999529, 0.000000, 0.031411, 0.000000, 0.309017, 0.000000, 0.049068
6, 0, 0.999322, 0.000000, 0.037688, 0.000000, 0.368125, 0.000000, 0.070451
7, 0, 0.999078, 0.000000, 0.043959, 0.000000, 0.425779, 0.000000, 0.095543
8, 0, 0.998795, 0.000000, 0.050226, 0.000000, 0.481754, 0.000000, 0.124252
9, 0, 0.998476, 0.000000, 0.056486, 0.000000, 0.535827, 0.000000, 0.156475
10, 0, 0.998119, 0.000000, 0.062739, 0.000000, 0.587785, 0.000000, 0.192100
11, 0, 0.997725, 0.000000, 0.068983, 0.000000, 0.637424, 0.000000, 0.231002
12, 0, 0.997293, 0.000000, 0.075217, 0.000000, 0.684547, 0.000000, 0.273042
13, 0, 0.996825, 0.000000, 0.081441, 0.000000, 0.728969, 0.000000, 0.318068
14, 0, 0.996320, 0.000000, 0.087653, 0.000000, 0.770513, 0.000000, 0.365917
15, 0, 0.995778, 0.000000, 0.093852, 0.000000, 0.809017, 0.000000, 0.416410
16, 0, 0.995201, 0.000000, 0.100037, 0.000000, 0.844328, 0.000000, 0.469358
17, 0, 0.994588, 0.000000, 0.106207, 0.000000, 0.876307, 0.000000, 0.524558
18, 0, 0.993939, 0.000000, 0.112361, 0.000000, 0.904827, 0.000000, 0.581794
19, 0, 0.993254, 0.000000, 0.118498, 0.000000, 0.929776, 0.000000, 0.640838
